Primary subject matter,2016,2017,2018,2019,2020,2021,2022,2023
Armed forces and national security,,1,2,,1,3,2,2
Arts, culture, religion,,,,,,,,
Civil rights and liberties, minority issues,,,,,,1,2
Commerce,,1,,,,,,,
Crime and law enforcement,,,,1,,,,1
Economics and public finance,,1,1,3,8,6,7,5
Education,,,,,,3,1,2
Energy,,,,1,,1,,,
Environmental protection,,,,,,,,1
Finance and financial sector,,,,,,,,
Foreign trade and international finance,,,,,,3,,,
Government operations and politics,,,,,,,,
Health,,,,1,2,1,,,
Labor and employment,,,,,,1,3,4,2
Science, technology, communications,,1,2,,4,2,2,2
Taxation,,,,,,1,,,
Transportation and public works,,,,,,,,1
